id,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note
70,313878,"The Space Annihilator: Early Science Fiction from The Argosy, 1896-1910",https://images-na.ssl-images-amazon.com/images/I/61ZQLDZOPuL.jpg,Gene Christie,Black Dog Books,2010-03-24,$15.95,160,tp,THSPCNNHLT2010,ANTHOLOGY,Data from Amazon.com as of 2010-03-28.<br>
71,323585,The Dreaming Sex: Early Tales of Scientific Imagination by Women,https://www.isfdb.org/wiki/images/c/c1/THDRMNGSXT2010.jpg,Mike Ashley,Peter Owen,2010-08-01,£9.99,252,pb,THDRMNGSXT2010,ANTHOLOGY,Month/Day publication data from Amazon
72,1010081,The Curious Experience of Thomas Dunbar,https://m.media-amazon.com/images/I/51gy5+an2wL.jpg,G. M. Barrows,Wildside Press,2011-01-05,,,ebook,THCRSXPRNC2011,CHAPBOOK,
73,295649,"All-Story Weekly, April 14, 1917",https://isfdb.org/wiki/images/6/64/LLSTRWKLPB1917.jpg,Robert H. Davis,The Frank A. Munsey Company,1917-04-14,$0.10,176,pulp,LLSTRWKLPB1917,MAGAZINE,"v70 #1
Francis Stevens data from Fictionmags the anthology ""The Nightmare"".
Other data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
74,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
75,918529,Island of Nightmares,https://m.media-amazon.com/images/I/61cSROq2PcL.jpg,Francis Stevens,e-Pulp Adventures,2009-07-06,,,ebook,SLNDFNGHTM2009,CHAPBOOK,
76,329664,The Nightmare,https://m.media-amazon.com/images/I/51GFuLs9JuL.jpg,Francis Stevens,Munsey's,2009-11-18,$9.95,100,tp,THNGHTMRVQ2009,CHAPBOOK,Data from Amazon.com as of 2010-08-29.<br>
77,763747,Nightmare,https://images-na.ssl-images-amazon.com/images/I/41LHKRLUv9L.jpg,Francis Stevens,Sci-Fi Publishing,2018-08-20,$9.99,70,tp,FRNCSSTVNC2018,CHAPBOOK,Data from Amazon.com as of 2020-03-01.
78,313987,"All-Story Weekly, September 7, 1918",https://isfdb.org/wiki/images/8/8b/LLSTRMGZNS1918.jpg,Robert H. Davis,The Frank A. Munsey Company,1918-09-07,$0.10,196,pulp,LLSTRMGZNS1918,MAGAZINE,"v88 #2
Data from the Stevens collection ""The Nightmare"" and the <i>Index to Fantasy & Science Fiction in Munsey Publications</i>."
79,265670,"Fantastic Novels Magazine, September 1950",http://www.philsp.com/data/images/f/fantastic_novels_195009.jpg,Mary Gnaedinger,"New Publications, Inc.",1950-09-00,$0.25,132,pulp,FNTSTCNVLH1950,MAGAZINE,"Vol. 4, No. 3.<br>The editor is not listed but Gnaedinger signs the lead-in to the letters column.<br>Paul and Lawrence are credited as the interior artists on the table of contents. Paul signs his illustrations and Lawrence is presumed to be responsible for the other illustration."
80,52746,"Under the Moons of Mars: A History and Anthology of 'The Scientific Romance' in the Munsey Magazines, 1912-1920",https://www.isfdb.org/wiki/images/3/3d/NDRMNMARS1970.jpg,Sam Moskowitz,"Holt, Rinehart and Winston",1970-06-00,$7.95,xiii+433,hc,NDRMNMARS1970,ANTHOLOGY,"<ul>
<li>Stated First Edition.
<li>Publication date from code 0670 on the front dustjacket flap.
<li>""Jacket design by Roger Hane"" on the rear dustjacket flap. Cover illustration is signed in the lower right as by Roger Hane.
<li>Designer Christine Aulicino.
<li>Sources:
<ul>
<li>Under the Moons of Mars (excerpt) by Edgar Rice Burroughs (The All-Story Magazine, February-July, 1912).
<li>Darkness and Dawn (excerpt) by George Allan England (The Cavalier and the Scrap Book, January(undated)-January 20,1912.
<li>Polaris of the Snows (excerpt first five chapters) by Charles R. Stilson (All-Story Weekly, December 18,1915-January 1, 1916).
<li>Palos of the Dog Star Pack (excerpt) by J.U. Giesy (All-Story Weekly, July 13-August 10, 1918).
<li>Friend Island by Francis Stevens (All-Story Weekly, September 7, 1918).
<li>The Moon Pool by A. Merritt (All-Story Weekly, June 22, 1918).
<li>The Girl in the Golden Atom by Ray Cummings (All-Story Weekly, March 15, 1919).
<li>The Mad Planet by Murray Leinster (The Argosy, June 12, 1920).
<li>The Blind Spot by Austin Hall and Homer Eon Flint (excerpt)(Argosy All Story Weekly, May 14-June 18, 1921.
</ul>
</ul>"
81,367569,Les meilleurs récits de Famous Fantastic Mysteries,https://www.isfdb.org/wiki/images/e/e6/LSMLLRSRCT1977.jpg,Jacques Sadoul,J'ai Lu,1977-02-21,,253,pb,LSMLLRSRCT1977,ANTHOLOGY,"Probable first printing.
No price nor ISBN on book; two white stars and two ""J'ai Lu"" logos on spine, indicating price category."
82,192633,New Eves: Science Fiction About the Extraordinary Women of Today and Tomorrow,https://www.isfdb.org/wiki/images/c/c7/NWVSSCNCFC1994.jpg,Forrest J Ackerman,Longmeadow Press,1994-11-00,$14.95,xvii+427,hc,NWVSSCNCFC1994,ANTHOLOGY,"<ul>
<li>On copyright page: ""First Longmeadow Press edition"", printing line ""0 9 8 ... 3 2 1"", ""Copyright (c) 1994"", LCCN & ISBN.
<li>$14.95 price and ISBN on jacket front flap. ""Jacket illustration by Laura Freas"" on back flap.
<li>Stories are separated in blocks of twenty years. Per the editors' ""Author's Note"", the stories ""were selected because they met at least one of three criterion, either they were representative of the author's work, the story's era, or a key theme in the evolution of science fiction's view of women and their place in the universe They were not chosen for political correctness.""<li>Note that the Ursula K. Le Guin story ""Winter's King"" in this anthology is the author's revised version which was first published in her collection <i>The Wind's Twelve Quarters</i>.</ul>"
83,251064,The Prentice Hall Anthology of Science Fiction and Fantasy,https://m.media-amazon.com/images/I/51MMCZMT30L.jpg,Garyn G. Roberts,Prentice-Hall,2000-07-18,$47.00,xviii+1166,tp,THPRNTCHLL2001,ANTHOLOGY,"<ul>
<li>On copyright page: ""(c) 2001 by Prentice-Hall, Inc."", printing line ""10 9 8 ... 3 2 1"", LCCN and ISBN10. Barcode on back cover has the ISBN10 and the ISBN13 ""9780130212801"".
<li>Prentice Hall is a subsidiary of Pearson. Per the Pearson website for this book, ""Published by Pearson (July 18th 2000) - Copyright © 2001"".
<li>This book was published for the education marketplace, and was reprinted as late as ""Dec 1, 2019"" per Amazon.com. The Pearson site now notes ""Permanently unavailable"", so it is no longer in print.
<li>No price on PV1. The ISFDB stub for this 1st printing had a price of $47.00. The price for final printings on the Pearson site is $154.66.
<li>Between pages 558 and 559, there is a four page glossy insert that reproduces four classic and archetypical pulp covers by Margaret Brundage, Edd Cartier, Frank R. Paul and Howard V. Brown.
<li>Contents of this anthology is broken down into several parts.
<li>Section One: <b>Two Archetypal Stories</b> (p 5-28).
<li>Section Two A: <b>Fantasy: Dark Fantasy</b> (p 29-206).
<li>Section Two B: <b>Fantasy: High Fantasy</b> (p 207-340).
<li>Section Three: <b>Science Fiction</b> (p 341-1123).
<li>Section Four: <b>An Historical Perspective</b> (p 1125-1134).
<li>Section Five: <b>Lists and Bibliographies</b> (p 1135-1174).
<li>Each story is preceded by two to four paragraphs that are biographies of the authors of the story and why it is included in this volume. Page numbers on the contents page represent when the notes start and not necessarily when the story starts in the anthology.
<li>All stories are printed in chronological order in each section.
<li>Many stories on the contents page are preceded either or both a television or movie projector icon to show if that story has been adapted into the visual medium.
<li>Editor Roberts mistakenly attributes the first printing of Jack Finney's story ""The Third Level"" to the October 1952 issue of <i>The Magazine of Fantasy and Science Fiction</i>.
<li>Editor Roberts edits Clark Ashton Smith's previously published short stories ""The City of the Singing Flame"" and ""Beyond the Singing Flame"" into one story. Each story's publishing history is listed separately on this site.
<li>""Index"" (on P 1161, although the TOC incorrectly notes 1160) and ""Credits"" (on P 1163, although the TOC incorrectly notes 1162) are also included.
</ul>"
84,398104,The Prentice Hall Anthology of Science Fiction and Fantasy,https://m.media-amazon.com/images/I/51MMCZMT30L.jpg,Garyn G. Roberts,Prentice-Hall,2003-00-00,,xviii+1166,tp,THPRNTCHLL2003,ANTHOLOGY,"<ul>
<li>First edition was 2000-07-28 according to Amazon.com as of 2012-09-16.
<li>Fourth printing per the numberline that is found on the book's copyright page.
<li>No price is to be found anywhere on or in this book. Price was $82.00 in a college bookstore.
<li>Contents of this anthology is broken down into several parts.
<li>Section One: <b>Two Archetypal Stories</b> (p 5-28).
<li>Section Two A: <b>Fantasy: Dark Fantasy</b> (p 29-206).
<li>Section Two B: <b>Fantasy: High Fantasy</b> (p 207-340).
<li>Section Three: <b>Science Fiction</b> (p 341-1123).
<li>Section Four: <b>An Historical Perspective</b> (p 1125-1134).
<li>Section Five: <b>Lists and Bibliographies</b> (p 1135-1174).
<li>Each story is preceded by two to four paragraphs that are biographies of the authors of the story and why it is included in this volume. Page numbers on the contents page represent when the notes start and not necessarily when the story starts in the anthology.
<li>All stories are printed in chronological order in each section.
<li>Many stories on the contents page are preceded either or both a television or movie projector icon to show if that story has been adapted into the visual medium.
<li>Editor Roberts mistakenly attributes the first printing of Jack Finney's story ""The Third Level"" to the October 1952 issue of <i>The Magazine of Fantasy and Science Fiction</i>.
<li>Editor Roberts edits Clark Ashton Smith's previously published short stories ""The City of the Singing Flame"" and ""Beyond the Singing Flame"" into one story. Each story's publishing history is listed separately on this site.
<li>There is a four page glossy insert that reproduces four classic and archtypical pulp covers by Margaret Brundage, Edd Cartier, Frank R. Paul and Howard V. Brown.
<li>""Index"" (on P 1161, although the TOC incorrectly notes 1160) and ""Credits"" (on P 1163, although the TOC incorrectly notes 1162) are also included.
<li>""The Last Flight of Dr. Ain"" uses the revised text first published in the 1974 anthology ""SF: Author's Choice 4"" (Harry Harrison, ed). The description in the ""Warm Worlds and Otherwise"" acknowledgements characterized this version as ""heavily revised"".
</ul>"
85,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
86,521526,The Feminine Future: Early Science Fiction by Women Writers,https://m.media-amazon.com/images/I/41yCuxS6EhL.jpg,Mike Ashley,Dover Publications,2015-02-17,$4.50,,ebook,THFMNNFTRB2015,ANTHOLOGY,Publication date from amazon.com.
87,500138,The Feminine Future: Early Science Fiction by Women Writers,https://m.media-amazon.com/images/I/41yCuxS6EhL.jpg,Mike Ashley,Dover Publications,2015-03-18,$4.50,viii+228,tp,THFMNNFTRR2015,ANTHOLOGY,Original edition. No statement of printing; presumed 1st printing.
88,594257,The Phoenix Pick Anthology of Classic Science Fiction: Second Edition,https://m.media-amazon.com/images/I/61y-8goZxgL.jpg,Paul Cook,Phoenix Pick,2016-10-18,$34.95,,hc,THPHNXPCKN2016,ANTHOLOGY,Data from Amazon.com as of 2016-11-17.
89,663973,Strange Island Stories,https://images-na.ssl-images-amazon.com/images/I/51KsaU77kdL.jpg,Jonathan E. Lewis,Stark House Press,2018-03-26,$19.95,348,tp,STRNGSLNDS2018,ANTHOLOGY,"<br> Cover artist credited on the copyright page.
<br> Data from Amazon and Locus Magazine #688 as of 2018-05-04."
90,717963,The Big Book of Classic Fantasy: The Ultimate Collection,https://images-na.ssl-images-amazon.com/images/I/510uptp6UNL.jpg,Ann VanderMeer,Vintage Books,2019-07-02,$25.00,xix+822,tp,THBGBKFCLS2019,ANTHOLOGY,"Date of publication from Amazon.com as of 2019-06-03. 
Canada price C$34.00
First printing with full number line."
91,724114,The Big Book of Classic Fantasy: The Ultimate Collection,https://images-na.ssl-images-amazon.com/images/I/510uptp6UNL.jpg,Ann VanderMeer,Vintage Books,2019-07-02,$12.99,xix+822,ebook,THBGBKFCLB2019,ANTHOLOGY,"Data from publisher's website. Date of publication from Amazon.com as of 2019-06-03. 
Canada price C$34.00
First printing with full number line."
92,798803,Strange Lands: Short Stories,https://m.media-amazon.com/images/I/61Kn-Au+ihL.jpg,uncredited,Flame Tree Press,2020-10-21,£20.00,480,hc,STRNGLNDSS2020,ANTHOLOGY,"Data from Amazon UK as of 2020-10-04.
Andersen's 'The Goloshes of Fortune' translated by {{A|Mrs. H. B. Paull}}."
93,916215,"Realidades alternativas, September 2022",https://m.media-amazon.com/images/I/51Z7AKrwrbL.jpg,Gustavo Terranova,Editora Andarilho,2022-09-19,R$22.00,,ebook,RLDDSLTRNG2022,MAGAZINE,"{{Tr|Gustavo Terranova Aversa}}
Source: Brazilian Amazon."
94,302635,"All-Story Weekly, September 21, 1918",https://isfdb.org/wiki/images/6/67/LLSTRWKLSP1918.jpg,Robert H. Davis,The Frank A. Munsey Company,1918-09-21,$0.10,,pulp,LLSTRWKLSP1918,MAGAZINE,"v88 #4
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and Robert Sampson's <i>Strange Days</i>"
95,58027,"Famous Fantastic Mysteries, January 1940",http://www.philsp.com/data/images/f/famous_fantastic_mysteries_194001.jpg,Mary Gnaedinger,The Frank A. Munsey Company,1940-01-00,$0.15,132,pulp,FAMFANMYSJAN1940,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58006"">Dec. 1939</a>&#8592;Jan. 1940&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58018"">Feb. 1940</a><br/>
<!--isfdb specific-->
Vol. I, No. 4.<br>The editor is not credited but Day and Ashley credit Gnaedinger."
96,251761,Famous Fantastic Mysteries,https://www.isfdb.org/wiki/images/7/7b/FMSFNTSTCM1991.jpg,Stefan R. Dziemianowicz,Gramercy Books,1991-08-00,$10.00,xiii+449,hc,FMSFNTSTCM1991,ANTHOLOGY,"<ul>
<li>Month (August) and price from Locus1 which states that:
<li>Ed. by Robert E. Weinberg (not Robert Weinberg)
<li>Introduction is by Stefan R. Dziemianowicz
<li>Fungus Isle by Philip Fisher
<li>Mimic [as by Martin Pearson] by Donald A. Wollheim
<li>The cover is from the December 1946 issue.
<li>Each story preceded by identical Virgil Finlay artwork.
</ul>"
97,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
98,324619,The People of the Pit,https://m.media-amazon.com/images/I/51qfj3Ops6L.jpg,Gene Christie,Black Dog Books,2010-07-07,$19.95,204,tp,THPPLFTHPT2010,ANTHOLOGY,Data from Amazon.com as of 2010-07-11.<br>
99,739936,UnseenUnfeared and Other Stories,https://images-na.ssl-images-amazon.com/images/I/41n2VCNi14L.jpg,Francis Stevens,Miniature Masterpieces,2018-08-22,$9.99,40,tp,FRNCSSTVNB2018,COLLECTION,Data from Amazon.com as of 2019-10-18.
100,1012547,Behind the Curtain,https://isfdb.org/wiki/images/e/e4/BHNDTHCRTN2020.jpg,Francis Stevens,Roy Glashan's Library,2020-08-25,A$0.00,,ebook,BHNDTHCRTN2020,CHAPBOOK,"Formats: HTML, EPUB.
The source edition is the <i>All-Story Weekly</i> publication."
101,17311,Horrors Unknown,https://www.isfdb.org/wiki/images/d/d4/HRRRSNKNWNC61971.jpg,Sam Moskowitz,Walker & Co.,1971-06-00,$5.95,x+214,hc,HRRRSNKNWNC61971,ANTHOLOGY,"<ul>
<li>""First published in the United States in 1971 by the Walker Publishing Company, Inc."" stated on the copyright page.
<li>Month of publication from Contento1.
<li>""Designed by Carl Weiss"" stated on the copyright page. ""Jacket design by Carl Weiss"" stated on the back flap of the dustjacket.
<li>ISBN and LCCN (70-155734) stated on the copyright page.
<li>""Illustration by Ed Emsch"" printed on the back flap of the dustjacket, with a short bio which also credits ""Ed Emsch"".
</ul>"
102,487645,Horrors Unknown,https://www.isfdb.org/wiki/images/2/21/HRRRSNKNWN1972.jpg,Sam Moskowitz,Kaye & Ward,1972-05-00,£1.65,x+214,hc,HRRRSNKNWN1972,ANTHOLOGY,Data from Amazon and Worldcat.
103,301157,Horrors Unknown,https://www.isfdb.org/wiki/images/c/cd/HRRRSNKNWN1976.jpg,Sam Moskowitz,Berkley Medallion,1976-02-00,$0.95,xi+210,pb,HRRRSNKNWN1976,ANTHOLOGY,"<ul>
<li><i>Berkley Medallion Edition, February, 1976</i>. Assumed 1st printing.
<li>The story ""The Devil of the Picuris"" & its introduction, do not appear here.
<li>ISBN derived from SBN 425-03063-6 on copyright page. Booknumber N3060 on frontcover.
<li>Cover artist is not credited, no visible signature.
<li>LCCN 70-55734 on copyright page.
</ul>"
104,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
105,307889,Unforgettable Ghost Stories by Women Writers,https://images-na.ssl-images-amazon.com/images/I/51R1qLP3q7L.jpg,Mike Ashley,Dover Publications,2008-00-00,$10.95,vi+313,tp,NFRGTTBLGH2008,ANTHOLOGY,No printing or edition stated.
106,311536,American Fantastic Tales: Terror and the Uncanny from Poe to the Pulps,https://www.isfdb.org/wiki/images/5/5d/MRCNFNTSTC2009.jpg,Peter Straub,The Library of America,2009-00-00,$35.00,xv+746,hc,MRCNFNTSTC2009,ANTHOLOGY,"Stated first printing. 
The Library of America #196. 
Marking ribbon."
107,451264,The Weird: A Compendium of Strange and Dark Stories,https://m.media-amazon.com/images/I/51ppDoa8nBL.jpg,Ann VanderMeer,Corvus,2011-10-31,£25.00,,ebook,THWRDCMPND2011,ANTHOLOGY,"Data from Amazon UK as of 2014-05-31.
File Size: 2937 KB.
Amazon Kindle's page count 1153.
Price from W. H. Smith as of 2014-05-31. 
Cover artist from print edition."
108,411472,The Monster-Maker and Other Science Fiction Classics,https://www.isfdb.org/wiki/images/2/29/THMNSTRMKR2012.jpg,Michael Kelahan,Fall River Press,2012-00-00,,xi+417,hc,THMNSTRMKR2012,ANTHOLOGY,"<ul>
<li>First printing per the numberline (1 3 5 7 9 10 8 6 4 2) that is found on the this book's copyright page.
<li>No price listed. Bookseller sticker gives this book's price as $7.98. This may be an instant remainder.
<li>No exact printing date given. States that this book is copyrighted ""2012"", and it is so listed on Amazon.com as of 2013-03-13.
<li>No acknowledgement page. All stories are preceded by a paragraph or two about the author and story; these paragraphs also give the story's original printing place.
<li>Book dedicated to Ellen Datlow, who has her own page on this site.
<li>Stories are reprinted in chronological order.
<li><i>At the Earth's Core</i> is reprinted unabridged.
<li>Jacket design by Jason Chow.
<li>Jacket art and photos by Nicholas Belton/iStockphoto; Renee Keith/iStockphoto; morgueFile; VintageVectors.
</ul>"
109,380838,The Weird: A Compendium of Strange and Dark Stories,https://m.media-amazon.com/images/I/51JOtVWfI4L.jpg,Ann VanderMeer,Tor,2012-05-08,$39.99,xx+1126,hc,THWRDMBKRH2012,ANTHOLOGY,"Day of publication from Amazon.com.<br>
Canada price C$45.99.<br>
Stated First U.S. Edition with full number line.<br>
Hanns Heinz Ewers' name is listed correctly in the table of contents and the copyright page and is misspelled (""Hans"") only on the title page and the page headings.<br>
Kafka's ""In the Penal Colony"" is translated into English by Ian Johnston ©2007.<br>
Grabi&#324;ski's ""The White Wyrak"" is translated into English by Miroslaw Lipinski ©1994.<br>
Borges' ""The Aleph"" is translated into English by Andrew Hurley ©1998.<br>
Cortázar's ""Axolotl"" is a new translation into English by Gio Clairval.<br>
Buzzati's ""The Columber"" is a new translation into English by Gio Clairval.<br>
Bernanos' <i>The Other Side of the Mountain</i> is a new translation into English by Gio Clairval.<br>
Murakami's ""The Ice Man"" is translated into English by Philip Gabriel ©2006.
""Tainaron"" is translated by Hildi Hawkins (printed as Hilda Hawkins under the title) ©2004."
110,380839,The Weird: A Compendium of Strange and Dark Stories,https://m.media-amazon.com/images/I/51JOtVWfI4L.jpg,Ann VanderMeer,Tor / SFBC,2012-05-08,$22.99,xx+1126,hc,THWRDZPVWS2012,ANTHOLOGY,Info from SFBC.com.
111,381533,The Weird: A Compendium of Strange and Dark Stories,https://www.isfdb.org/wiki/images/3/34/THWRDCMPND2012.jpg,Ann VanderMeer,Tor,2012-05-08,$29.99,xx+1126,tp,THWRDCMPND2012,ANTHOLOGY,"<ul>
<li>Stated ""First U.S. edition: May 2012"".
<li>No number line. Copyright page has a ""P1"" at bottom which might indicate first printing.
<li>Cover artist credit per rear cover.
<li>No price. Price from Locus Magazine #617 as of 2012-12-31 (based on information in original record).
<li>Each story is preceded, on title page, with a paragraph about the author and the story.
<li>Hanns Heinz Ewers is spelled correctly in the table of contents and the copyright page, but is misspelled (""Hans"") on the title page and the page headings.
<li>Kubin's ""The Other Side"" translated by Mike Mitchell.
<li>Heym's ""The Dissection"" translated by Gio Clairval.
<li>Ewers' ""The Spider"" translated by Walter F. Kohn.
<li>Ugolini's ""The Vegetable Man"" translated by Brendan and Anna Connell.
<li>Akutagawa's ""The Hell Screen"" translated by Morinaka Akira.
<li>Kafka's ""In the Penal Colony"" translated by Ian Johnston.
<li>Grabi&#324;ski's ""The White Wyrak"" translated by Miroslaw Lipinski.
<li>Ray's ""The Mainz Psalter"" and ""The Shadowy Street"" translated by Lowell Blair.
<li>Sakutar&#333;'s ""The Town of Cats"" translated by Jeffrey Angles.
<li>Schulz's ""Sanatorium Under the Sign of the Hourglass"" translated by Celina Wieniewska.
<li>Borges' ""The Aleph"" translated by Andrew Hurley.
<li>Bhêly-Quénum's ""A Child in the Bush of Ghosts"" does not specify a translator.
<li>Monterroso's ""Mister Taylor"" translated by Larry Nolen.
<li>Cortázar's ""Axolotl"" translated by Gio Clairval.
<li>Buzzati's ""The Columber"" translated by Gio Clairval.
<li>Bernanos' ""The Other Side of the Mountain"" translated by Gio Clairval.
<li>Rodoreda's ""The Salamander"" translated by Martha Tennent.
<li>Seignolle's ""The Ghoulbird"" translated by Gio Clairval.
<li>Mitra's ""The Discovery of Telenapota"" translated by P. Nandy.
<li>Krohn's ""Tainaron: Mail from Another City"" translated by Hildi Hawkins (printed as Hilda Hawkins).
<li>Ajvaz's ""The End of the Garden"" translated by James Naughton.
<li>Murakami's ""The Ice Man"" translated by Philip Gabriel.
</ul>"
112,647594,"LampLight, December 2017",https://images-na.ssl-images-amazon.com/images/I/41T1rqDxzgL.jpg,Catherine Grant,Apokrupha,2017-12-00,$7.99,98,tp,LMPLGHTDCM2017,MAGAZINE,"<ul><Li>Volume 6, Issue 2. <Li>Guest-edited by Catherine Grant.<Li>K. L. Pereira's name is spelled ""KL Pereira"" throughout <Li>Data from Amazon as of 2018-01-02.</ul>"
113,739936,UnseenUnfeared and Other Stories,https://images-na.ssl-images-amazon.com/images/I/41n2VCNi14L.jpg,Francis Stevens,Miniature Masterpieces,2018-08-22,$9.99,40,tp,FRNCSSTVNB2018,COLLECTION,Data from Amazon.com as of 2019-10-18.
114,788695,"Women's Weird: Strange Stories by Women, 1890-1940",https://images-na.ssl-images-amazon.com/images/I/71MYtlsZR4L.jpg,Melissa Edmundson,Handheld Press,2019-10-31,£12.99,321,tp,WMNSWRDSTR2019,ANTHOLOGY,"<ul><li>Data from Amazon.com and its LookInside feature as of 2020-08-25.
<li>Price and cover artist from back cover.
<li>Cover art titled '<i>Dolores and the Crystal Ball</i>' by Baron Adolph de Meyer, Vogue, May 1919. Image provided by The Metropolitan Museum of Art, New York, Thomas J. Watson Library.
</ul>"
115,1008173,UnseenUnfeared,https://isfdb.org/wiki/images/4/44/NSNNFRDSTX2020.jpg,Francis Stevens,Roy Glashan's Library,2020-04-09,A$0.00,,ebook,NSNNFRDSTX2020,CHAPBOOK,"Formats: HTML, EPUB.
The source edition is the <i>People's Favorite Magazine</i> publication."
116,801512,Dr. Acula's Night Terrors,https://m.media-amazon.com/images/I/51jSFJvUOcL.jpg,Forrest J. Ackerman,Strange Particle Press / Digital Parchment Press,2020-07-19,$2.00,,ebook,DRCLSNGHTT2020,ANTHOLOGY,"<ul>
<li>All publishing data from Amazon.com, and its <i>Look Inside</i>, feature as of 2020-10-17.
<li>There are three publishers given for this book:
<br> Strange Particle Press
<br> Digital Parchment Press
<br> FuturesPast Editions
<li>Produced after Forrest J. Ackerman's death.
</ul>"
117,911226,The Night Wire and Other Tales of Weird Media,https://m.media-amazon.com/images/I/510ly0oBwhL.jpg,Aaron Worth,British Library Publishing,2022-05-31,£9.99,288,tp,THNGHTWRND2022,ANTHOLOGY,"Data from Amazon UK as of 2022-08-19.
Cover artists are credited for both art and design"
118,994394,Creepy Tales of the 1910s,https://m.media-amazon.com/images/I/61vCX2NdbwL.jpg,D. Edward Wright,Glowbug Publishing,2024-01-15,£12.00,192,tp,CRPTLSFTHS2024,ANTHOLOGY,
119,313990,"Argosy, July 5, 1919",http://www.philsp.com/data/images/a/argosy_19190705.jpg,Editors of Argosy,Frank A. Munsey,1919-07-05,$0.10,,unknown,RGSJLXVVWJ1919,MAGAZINE,"Speculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
120,265323,"Fantastic Novels Magazine, November 1949",http://www.philsp.com/data/images/f/fantastic_novels_194911.jpg,Mary Gnaedinger,"New Publications, Inc.",1949-11-00,$0.25,132,pulp,FNTSTCNVLB1949,MAGAZINE,"Vol. 3, No. 4.<br>The editor is not listed but Gnaedinger signs the lead-in to the letters column."
121,258610,Tales Before Tolkien: The Roots of Modern Fantasy,https://images-na.ssl-images-amazon.com/images/I/51KPZD24WNL.jpg,Douglas A. Anderson,Del Rey / Ballantine,2003-08-00,$27.95,436,hc,TLSBFRTLKB2003,ANTHOLOGY,"<br>
-- ""ISBN 0345458540 0345458559 (pbk.)""
Publ date and cover image from Amazon.com 2017-01-04, with limited ""Look Inside!"" 2003 Kindle ed. that includes list of contents and introduction signed by Anderson, November 2002
Price on front flap of Archive.org copy; $41.95 in Canada. ""First Edition: September 2003"" on copyright page."
122,258609,Tales Before Tolkien: The Roots of Modern Fantasy,https://www.isfdb.org/wiki/images/4/4a/TLSBFRTLKN2003.jpg,Douglas A. Anderson,Del Rey / Ballantine,2003-09-00,$14.95,436,tp,TLSBFRTLKN2003,ANTHOLOGY,"Stated First Edition.
First printing with full number line."
123,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
124,274429,Tales Before Tolkien: The Roots of Modern Fantasy,https://images-na.ssl-images-amazon.com/images/I/51FXTA0QPZL.jpg,Douglas A. Anderson,Del Rey / Ballantine,2005-11-29,$7.50,x+517,pb,TLSBFRTLKB2005,ANTHOLOGY,"""The Story of Alwina"" (Austin Tappin Wright), listed as present in the trade paper edition, does not appear to be in this mass market paperback.
Unknown source
<br><br>
Publ date and cover image from Amazon.com 2017-01-04 (no list price).
Amazon provides ""Look Inside!"" the 2003 Kindle ed. that includes list of contents with ""The Tale of Alwina"" as penultimate story."
125,739936,UnseenUnfeared and Other Stories,https://images-na.ssl-images-amazon.com/images/I/41n2VCNi14L.jpg,Francis Stevens,Miniature Masterpieces,2018-08-22,$9.99,40,tp,FRNCSSTVNB2018,COLLECTION,Data from Amazon.com as of 2019-10-18.
