,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note,microsoft,google_vit,oschamp,wd14
69,56327,"Amazing Stories, February 1946",https://isfdb.org/wiki/images/5/5a/AMAZFEB1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-02-00,$0.25,180,pulp,AMAZFEB1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56283"">Dec. 1945</a>&#8592;Feb. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56547"">May 1946</a><br/>
<!--isfdb specific-->
Vol 20, No 1. Cover illustrates ""Invasion of the Micro-Men."" The table of contents credits the illustration for ""Final Victim"" to Julian S. Krupa, but it is signed by Hadden.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, surrealism, post_impressionism","spacecraft, retro artstyle, helmet, science fiction, cover, 1980s \(style\), robot, mecha, alien, battle, space, explosion, multiple boys, armor, box art"
70,56547,"Amazing Stories, May 1946",https://isfdb.org/wiki/images/e/e5/AMAZMAY1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-05-00,$0.25,180,pulp,AMAZMAY1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56327"">Feb. 1946</a>&#8592;May 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56461"">Jun. 1946</a><br/>
<!--isfdb specific-->
Vol 20, No 2. Cover illustrates ""The Masked World.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","expressionism, art_nouveau, post_impressionism, surrealism","1girl, weapon, gun, 1boy, blonde hair, handgun, earrings, jewelry, cover, holding gun, fake cover, holding weapon, hairband, retro artstyle, black hair, facial hair, holding, parody, revolver, realistic, 1980s \(style\)"
71,56461,"Amazing Stories, June 1946",https://isfdb.org/wiki/images/1/1b/AMAZJUN1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-06-00,$0.25,180,pulp,AMAZJUN1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56547"">May 1946</a>&#8592;Jun. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56412"">Jul. 1946</a><br/>
<!--isfdb specific-->
Vol 20, No 3. Cover illustrates ""Agharti.""",comic book,comic book,"art_nouveau, expressionism, surrealism, post_impressionism, renaissance","cover, multiple boys, retro artstyle, cover page, magazine cover, fake cover, muscular, male focus, box art, 1980s \(style\), parody, watercraft, underwear, 4boys"
72,56239,"Amazing Stories, August 1946",https://isfdb.org/wiki/images/8/8a/AMAZAUG1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-08-00,$0.25,180,pulp,AMAZAUG1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56412"">Jul. 1946</a>&#8592;Aug. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56679"">Sep. 1946</a><br/>
<!--isfdb specific-->
Vol 20, No 5. Cover illustrates ""The Sea People.""","book jacket, dust cover, dust jacket, dust wrapper, comic book","comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, post_impressionism, expressionism, impressionism, romanticism","1girl, 1boy, realistic, fake cover, retro artstyle, nude, cover, box art, 1980s \(style\), parody, water, fine art parody, partially submerged, giant, closed eyes, giantess, brown hair, wading, wet, parted lips, camouflage"
73,56679,"Amazing Stories, September 1946",https://isfdb.org/wiki/images/1/12/AMAZSEP1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-09-00,$0.25,180,pulp,AMAZSEP1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56239"">Aug. 1946</a>&#8592;Sep. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56641"">Oct. 1946</a><br/>
<!--isfdb specific-->
Vol 20, No 6. Cover illustrates ""Earth Slaves to Space.""",comic book,comic book,"surrealism, expressionism, art_nouveau, post_impressionism, renaissance","multiple boys, retro artstyle, explosion, spacecraft, cover, 2boys, cape, male focus, poster \(medium\), helmet, alien, video game, bald, 1980s \(style\)"
74,56641,"Amazing Stories, October 1946",https://isfdb.org/wiki/images/2/23/AMAZOCT1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-10-00,$0.25,180,pulp,AMAZOCT1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56679"">Sep. 1946</a>&#8592;Oct. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56593"">Nov. 1946</a><br/>
<!--isfdb specific-->
Vol 20, No 7. Cover illustrates ""The Green Man.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper, packet","expressionism, surrealism, art_nouveau, post_impressionism, baroque","bald, colored skin, male focus, red background, 1boy, green skin, retro artstyle, cover, cape, magazine cover, looking at viewer, realistic, copyright name, solo, 1990s \(style\), poster \(medium\), multiple boys"
75,56593,"Amazing Stories, November 1946",https://isfdb.org/wiki/images/d/d1/AMAZNOV1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-11-00,$0.25,180,pulp,AMAZNOV1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56641"">Oct. 1946</a>&#8592;Nov. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56284"">Dec. 1946</a><br/>
<!--isfdb specific-->
Vol 20 No 8. Cover illustrates ""The Return of Sathanas.""
<br>Price in Canada C$0.30","book jacket, dust cover, dust jacket, dust wrapper, comic book","comic book, book jacket, dust cover, dust jacket, dust wrapper","expressionism, art_nouveau, post_impressionism, surrealism, renaissance","1girl, 1boy, horns, facial hair, black hair, retro artstyle, sitting, long hair, topless male, red skin, high heels, nipples, cover, muscular, realistic, fake cover, pectorals, dress"
76,56284,"Amazing Stories, December 1946",https://isfdb.org/wiki/images/1/16/AMAZDEC1946.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1946-12-00,$0.25,180,pulp,AMAZDEC1946,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56593"">Nov. 1946</a>&#8592;Dec. 1946&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56367"">Jan. 1947</a><br/>
<!--isfdb specific-->
<br>Price in Canada C$0.30
Vol 20, No 9. Cover illustrates ""The Land of Kui."" Kohn and Krupa are both credited for the illustrations of ""Double for Destiny."" Kohn's illustrations are signed, the unsigned illustration is assumed to be by Krupa.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","surrealism, expressionism, art_nouveau, post_impressionism, renaissance","planet, green skin, cover, alien, spacecraft, retro artstyle, space, helmet, earth \(planet\), colored skin"
77,56367,"Amazing Stories, January 1947",https://isfdb.org/wiki/images/7/77/AMAZJAN1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-01-00,$0.25,180,pulp,AMAZJAN1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56284"">Dec. 1946</a>&#8592;Jan. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56328"">Feb. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 1. Cover illustrates ""The Mind Rovers.""","book jacket, dust cover, dust jacket, dust wrapper, comic book","book jacket, dust cover, dust jacket, dust wrapper, comic book","expressionism, art_nouveau, post_impressionism, surrealism, renaissance","fake cover, 1girl, cover, 1980s \(style\), retro artstyle, parody, brown hair, magazine cover, fire, robot, realistic"
78,56328,"Amazing Stories, February 1947",https://isfdb.org/wiki/images/1/1d/AMAZFEB1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-02-00,$0.25,180,pulp,AMAZFEB1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56367"">Jan. 1947</a>&#8592;Feb. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56499"">Mar. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 2. Cover illustrates ""Orphan of Atlans.""",comic book,"book jacket, dust cover, dust jacket, dust wrapper, comic book","art_nouveau, expressionism, post_impressionism, surrealism, romanticism","1girl, cover, retro artstyle, cape, jewelry, black hair, weapon, midriff, monster, holding, earrings, cover page, sword, short hair, 1990s \(style\), copyright name"
79,56499,"Amazing Stories, March 1947",https://isfdb.org/wiki/images/9/98/AMAZMAR1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-03-00,$0.25,180,pulp,AMAZMAR1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56328"">Feb. 1947</a>&#8592;Mar. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56201"">Apr. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 3. Cover illustrates ""Titans Battle.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, post_impressionism, romanticism, impressionism","beard, cover, retro artstyle, facial hair, boots, male focus, wings, fake cover, brown hair, dragon, muscular, tongue, 1boy, snow, 1990s \(style\), multiple boys, parody, 2boys, english text, mountain, clenched hand, yellow background"
80,56201,"Amazing Stories, April 1947",https://isfdb.org/wiki/images/3/3a/AMAZAPR1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-04-00,$0.25,180,pulp,AMAZAPR1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56499"">Mar. 1947</a>&#8592;Apr. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56548"">May 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 4. Cover illustrates ""All Aboard for the Moon.""","comic book, projectile, missile, missile, book jacket, dust cover, dust jacket, dust wrapper","comic book, book jacket, dust cover, dust jacket, dust wrapper, lipstick, lip rouge, projectile, missile","surrealism, expressionism, art_nouveau, post_impressionism, renaissance","retro artstyle, military, cover, science fiction, poster \(medium\), 1980s \(style\), multiple boys, spacecraft, 1boy, realistic, aircraft, building"
81,56548,"Amazing Stories, May 1947",https://isfdb.org/wiki/images/5/5d/AMAZMAY1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-05-00,$0.25,180,pulp,AMAZMAY1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56201"">Apr. 1947</a>&#8592;May 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56462"">Jun. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 5. Cover illustrates ""A Letter from Richard S. Shaver.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper, panpipe, pandean pipe, syrinx","expressionism, surrealism, art_nouveau, post_impressionism, baroque","retro artstyle, 1980s \(style\), alien, colored skin, green skin, 1girl, cover, fake cover, mole, spacecraft, english text"
82,640821,"Amazing Stories Quarterly (Reissue), Winter 1947",https://isfdb.org/wiki/images/0/0f/MZNGSTRSQR1947.jpg,The Editor,Ziff-Davis,1947-00-00,$0.35,,pulp,MZNGSTRSQR1947,MAGAZINE,"Winter 1947
The price is printed on cover.","comic book, book jacket, dust cover, dust jacket, dust wrapper","book jacket, dust cover, dust jacket, dust wrapper, comic book","art_nouveau, expressionism, post_impressionism, romanticism, surrealism","no humans, cover, magazine cover, building, english text, fake cover, stairs, fake magazine cover, text focus, city"
83,56462,"Amazing Stories, June 1947",https://isfdb.org/wiki/images/8/85/AMAZJUN1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-06-00,$0.25,180,pulp,AMAZJUN1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56548"">May 1947</a>&#8592;Jun. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56413"">Jul. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 6. Cover depicts ""a scene in the caves."" ""Vignettes of Famous Scientists"" titled ""Luigi Galvani,"" but article about Galton.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, post_impressionism, surrealism","retro artstyle, 1980s \(style\), cover, multiple boys, motor vehicle, box art, car, alien, weapon, science fiction, 1990s \(style\), robot, mecha, english text"
84,56240,"Amazing Stories, August 1947",https://isfdb.org/wiki/images/a/ad/AMAZAUG1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-08-00,$0.25,180,pulp,AMAZAUG1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56413"">Jul. 1947</a>&#8592;Aug. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56680"">Sep. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 8. Cover illustrates ""So Shall Ye Reap.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, surrealism, post_impressionism, renaissance","1boy, male focus, solo, closed eyes, retro artstyle, cover, gloves, poster \(medium\), black hair, realistic, english text, upper body"
85,56680,"Amazing Stories, September 1947",https://www.isfdb.org/wiki/images/f/f4/AMAZSEP1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-09-00,$0.25,180,pulp,AMAZSEP1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56240"">Aug. 1947</a>&#8592;Sep. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56642"">Oct. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 9. Cover illustrates ""The Star Kings.""",comic book,"book jacket, dust cover, dust jacket, dust wrapper, comic book","surrealism, art_nouveau, expressionism, post_impressionism, renaissance","space, spacecraft, retro artstyle, science fiction, no humans, flying, explosion, cover"
86,640820,"Amazing Stories Quarterly (Reissue), Spring 1948",https://isfdb.org/wiki/images/2/20/MZNGSTRSQD1948.jpg,The Editor,Ziff-Davis,1948-00-00,$0.35,,pulp,MZNGSTRSQD1948,MAGAZINE,"Spring 1948
The price is printed on cover.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, post_impressionism, romanticism, surrealism","1boy, male focus, solo, gloves, english text, underwear, retro artstyle, magazine cover, necklace, cape, star \(sky\), white gloves, parody, standing, realistic, jewelry, cover, artist name"
87,56642,"Amazing Stories, October 1947",https://isfdb.org/wiki/images/0/03/AMAZOCT1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-10-00,$0.25,180,pulp,AMAZOCT1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56680"">Sep. 1947</a>&#8592;Oct. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56594"">Nov. 1947</a><br/>
<!--isfdb specific-->
Vol 21, No 10. Cover illustrates ""Trail of the Astrogar.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, post_impressionism, surrealism","retro artstyle, 1girl, cover, gloves, 1980s \(style\), bodysuit, brown hair, boots, solo, science fiction, yellow bodysuit, helmet, dated"
88,56329,"Amazing Stories, February 1948",https://www.isfdb.org/wiki/images/a/a1/AMAZFEB1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-02-00,$0.25,180,pulp,AMAZFEB1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56368"">Jan. 1948</a>&#8592;Feb. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56500"">Mar. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 2. Cover illustrates ""Prometheus II.""",comic book,"book jacket, dust cover, dust jacket, dust wrapper, comic book, bee eater, packet, Band Aid","art_nouveau, surrealism, expressionism, post_impressionism, renaissance","space, spacecraft, planet, cover, no humans, retro artstyle, science fiction, alien, 1980s \(style\), military"
89,640818,"Amazing Stories Quarterly (Reissue), Fall 1948",https://isfdb.org/wiki/images/3/30/MZNGSTRSQB1948.jpg,The Editor,Ziff-Davis,1948-00-00,$0.50,,pulp,MZNGSTRSQB1948,MAGAZINE,"Fall 1948
The price is printed on cover.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, post_impressionism, romanticism, renaissance, expressionism","1girl, retro artstyle, 1980s \(style\), magazine cover, weapon, cover, gun, short hair, holding weapon, holding, robot, helmet, black hair, pink leotard, english text, holding gun, solo"
90,56500,"Amazing Stories, March 1948",https://isfdb.org/wiki/images/d/db/AMAZMAR1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-03-00,$0.25,180,pulp,AMAZMAR1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56329"">Feb. 1948</a>&#8592;Mar. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56202"">Apr. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 3. Cover illustrates ""Gods of Venus.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, post_impressionism, surrealism, romanticism","1girl, weapon, holding weapon, holding, retro artstyle, 1980s \(style\), breasts, gun, sword, holding gun, holding sword, belt, cover, black hair, boots, medium breasts, handgun, helmet, solo, energy gun, robot, shield, dated, pink leotard, short hair, long sleeves"
91,56202,"Amazing Stories, April 1948",https://isfdb.org/wiki/images/e/ea/AMAZAPR1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-04-00,$0.25,180,pulp,AMAZAPR1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56500"">Mar. 1948</a>&#8592;Apr. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56549"">May 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 4. Cover illustrates ""The Monster from Mars.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","surrealism, expressionism, art_nouveau, post_impressionism, renaissance","retro artstyle, cover, aircraft, 1980s \(style\), 1boy, realistic, monster, alien, science fiction, spacecraft, airplane, antennae"
92,640817,"Amazing Stories Quarterly (Reissue), Winter 1948",https://isfdb.org/wiki/images/7/75/MZNGSTRSQR1948.jpg,The Editor,Ziff-Davis,1948-00-00,$0.50,,pulp,MZNGSTRSQR1948,MAGAZINE,"Winter 1948
The price is printed on cover.","comic book, book jacket, dust cover, dust jacket, dust wrapper","comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, expressionism, post_impressionism, impressionism","nude, multiple boys, male focus, english text, 2boys, cover, retro artstyle, parody, convenient censoring"
93,56463,"Amazing Stories, June 1948",https://www.isfdb.org/wiki/images/7/7a/AMAZJUN1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-06-00,$0.25,180,pulp,AMAZJUN1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56549"">May 1948</a>&#8592;Jun. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56414"">Jul. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 6. Cover illustrates ""Ice City of the Gorgon.""","comic book, book jacket, dust cover, dust jacket, dust wrapper","book jacket, dust cover, dust jacket, dust wrapper, comic book, Band Aid, packet","art_nouveau, expressionism, post_impressionism, impressionism, romanticism","1girl, nude, 1boy, cover, long hair, retro artstyle, backpack, bag, water, mountain, waterfall, wet, brown hair, english text, completely nude, bathing, parody, convenient censoring, weapon, orange hair, magazine cover"
94,56414,"Amazing Stories, July 1948",https://isfdb.org/wiki/images/e/e0/AMAZJUL1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-07-00,$0.25,164,pulp,AMAZJUL1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56463"">Jun. 1948</a>&#8592;Jul. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56241"">Aug. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 7. Cover illustrates ""The Man from Agharti.""",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","expressionism, art_nouveau, post_impressionism, surrealism","multiple boys, cover, retro artstyle, parody, male focus, 2boys, castle, building, realistic"
95,56241,"Amazing Stories, August 1948",https://isfdb.org/wiki/images/d/d4/AMAZAUG1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-08-00,$0.25,164,pulp,AMAZAUG1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56414"">Jul. 1948</a>&#8592;Aug. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56681"">Sep. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 8. Cover illustrates ""Starship from Sirius."" Table of contents credits ""Science Fans Publish Checklist"" to Melvin Korshak, but actual author unknown.","comic book, book jacket, dust cover, dust jacket, dust wrapper","comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, post_impressionism, expressionism, romanticism, surrealism","1girl, blonde hair, breasts, cover, dress, retro artstyle, bug, weapon, medium breasts, sword, english text, cleavage"
96,56595,"Amazing Stories, November 1948",https://isfdb.org/wiki/images/4/4e/AMAZNOV1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-11-00,$0.25,156,pulp,AMAZNOV1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56643"">Oct. 1948</a>&#8592;Nov. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56286"">Dec. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 11. Cover illustrates ""Castle of Terror.""",comic book,comic book,"art_nouveau, expressionism, post_impressionism, impressionism, surrealism","multiple boys, parody, tree, 2boys, cover, retro artstyle, hat, shirt, dog, outdoors"
97,640816,"Amazing Stories Quarterly (Reissue), Spring 1949",https://isfdb.org/wiki/images/b/b5/MZNGSTRSQD1949.jpg,The Editor,Ziff-Davis,1949-00-00,$0.50,,pulp,MZNGSTRSQD1949,MAGAZINE,"Spring 1949
The price is printed on cover","scoreboard, comic book, book jacket, dust cover, dust jacket, dust wrapper","comic book, book jacket, dust cover, dust jacket, dust wrapper","expressionism, art_nouveau, post_impressionism, surrealism, realism","1boy, magazine cover, male focus, cover, english text, fake cover, looking at viewer, solo, western comics \(style\)"
98,56286,"Amazing Stories, December 1948",https://www.isfdb.org/wiki/images/a/ac/AMAZDEC1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-12-00,$0.25,156,pulp,AMAZDEC1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56595"">Nov. 1948</a>&#8592;Dec. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56369"">Jan. 1949</a><br/>
<!--isfdb specific-->
Vol 22, No 12. Cover illustrates ""Daughter of the Night.""","book jacket, dust cover, dust jacket, dust wrapper","book jacket, dust cover, dust jacket, dust wrapper, comic book","expressionism, art_nouveau, surrealism, post_impressionism, baroque","1boy, solo, magazine cover, cover, male focus, looking at viewer, yellow eyes, portrait, fake cover, colored skin, realistic, english text, retro artstyle"
99,56285,"Amazing Stories, December 1947",https://www.isfdb.org/wiki/images/b/bb/AMAZDEC1947.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1947-12-00,$0.25,180,pulp,AMAZDEC1947,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56594"">Nov. 1947</a>&#8592;Dec. 1947&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56368"">Jan. 1948</a><br/>
<!--isfdb specific-->
<ul>
<li>Volume 21 Number 12. <li>Cover illustrates ""The Green Man Returns.""
<li>The essay ""The Rain of Fish"" by Pete Bogg is referenced in the table of contents and on the back cover of the magazine on p.175, but it does not appear in this issue.
</ul>","book jacket, dust cover, dust jacket, dust wrapper, comic book","book jacket, dust cover, dust jacket, dust wrapper, comic book, packet","expressionism, post_impressionism, art_nouveau, surrealism, impressionism","colored skin, 1boy, male focus, green skin, crossed arms, bald, cape, cover, giant, poster \(medium\), closed eyes, alien, retro artstyle, copyright name, solo, fake cover"
100,56549,"Amazing Stories, May 1948",https://isfdb.org/wiki/images/d/de/AMAZMAY1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-05-00,$0.25,180,pulp,AMAZMAY1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56202"">Apr. 1948</a>&#8592;May 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56463"">Jun. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 5. Cover illustrates ""Armageddon.""","comic book, book jacket, dust cover, dust jacket, dust wrapper","comic book, book jacket, dust cover, dust jacket, dust wrapper","expressionism, art_nouveau, surrealism, post_impressionism","shield, weapon, sword, watercraft, ship, retro artstyle, holding shield, 1boy, helmet, box art, cape, poster \(medium\), holding, copyright name, armor, cover, realistic, giant, turban, holding weapon, holding sword, multiple boys, male focus, military vehicle, warship, 1980s \(style\)"
101,56287,"Amazing Stories, December 1949",https://isfdb.org/wiki/images/9/96/AMAZDEC1949.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1949-12-00,$0.25,164,pulp,AMAZDEC1949,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56596"">Nov. 1949</a>&#8592;Dec. 1949&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56370"">Jan. 1950</a><br/>
<!--isfdb specific-->
Vol 23, No 12. Cover illustrates ""Moon of Battle."" Half of the book reviews by Morris Tish do not name the author, in those cases the canonical names were used. The essay ""First Tools"" listed in the Table of Contents could not be found in this issue.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper","art_nouveau, post_impressionism, expressionism, renaissance, surrealism","1girl, dress, mini person, cover, breasts, flower, closed eyes, yellow dress, retro artstyle, minigirl, english text, armpits, sideboob, brown hair"
102,640811,"Amazing Stories Quarterly (Reissue), Summer 1950",https://isfdb.org/wiki/images/a/a3/MZNGSTRSQC1950.jpg,Howard Browne,Ziff-Davis,1950-00-00,$0.50,,pulp,MZNGSTRSQC1950,MAGAZINE,"Summer 1950
The price is printed on cover.",comic book,"comic book, book jacket, dust cover, dust jacket, dust wrapper, maillot, tank suit","art_nouveau, post_impressionism, expressionism, romanticism, impressionism","1girl, gloves, breasts, retro artstyle, cover, magazine cover, leotard, 1980s \(style\), cape, black leotard, open mouth, black gloves, belt, robot, clenched hand, helmet, holding, strapless, medium breasts, cover page, mecha, cleavage, fake cover, strapless leotard, black hair, science fiction, weapon, brown eyes, english text, long hair, arm up"
