,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note,tag_list,wd_14,google_vit
30,640830,"Amazing Stories Quarterly (Reissue), Winter 1941",https://isfdb.org/wiki/images/5/50/MZNGSTRSQR1941.jpg,The Editor,Ziff-Davis,1941-00-00,$0.25,,pulp,MZNGSTRSQR1941,MAGAZINE,"V2 #1
The price is printed on cover.",,"1boy, male focus, retro artstyle, solo, english text, parody, cover, fake cover, poster \(medium\), nude, 1980s \(style\)","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, menu, cassette"
31,56198,"Amazing Stories, April 1941",https://isfdb.org/wiki/images/f/fd/AMAZAPR1941.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1941-04-00,$0.20,148.0,pulp,AMAZAPR1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56494"">Mar. 1941</a>&#8592;Apr. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56543"">May 1941</a><br/>
<!--isfdb specific-->

Vol 15, No 4. Cover illustrates ""Lords of the Underworld."" Table of contents credits interior illustrations to J. Allen St. John, Julian S. Krupa, Robert Fuqua, Jay Jackson, Joe Sewell, Dick Shaw, R. Newman, and Guy Gifford. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"retro artstyle, 1girl, nude, cover, tiger, 1980s \(style\), english text, breasts, black hair, magazine cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, tiger, Panthera tigris, packet, tiger cat"
32,60679,"Startling Stories, July 1942",https://www.isfdb.org/wiki/images/6/68/STARTLJUL1942.JPG,Oscar J. Friend,"Better Publications, Inc.",1942-07-00,$0.15,132.0,pulp,STARTLJUL1942,MAGAZINE,"Vol 8, No 1. Cover illustration untitled. Attributions for illustrations from credit or signatures using most complete form of the artists' names in this issue.",,"magazine cover, fake cover, cover, 1boy, retro artstyle, male focus, realistic, 1980s \(style\), cover page, explosion, solo, topless male, poster \(medium\), water, western comics \(style\), box art, manly, explosive, building, parody, science fiction, smile, manga cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, bee eater, sulphur butterfly, sulfur butterfly, bow"
33,56368,"Amazing Stories, January 1948",https://www.isfdb.org/wiki/images/e/e3/AMAZJAN1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-01-00,$0.25,180.0,pulp,AMAZJAN1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56285"">Dec. 1947</a>&#8592;Jan. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56329"">Feb. 1948</a><br/>
<!--isfdb specific-->

Vol 22, No 1. Cover illustration untitled.",,"multiple boys, retro artstyle, military, military uniform, uniform, cover, 2boys, helmet, 1980s \(style\), box art, science fiction, robot, traditional media, cover page, male focus, hat","comic book, book jacket, dust cover, dust jacket, dust wrapper, toyshop, packet, cassette"
34,58110,"Fantastic Adventures, January 1948",http://www.philsp.com/data/images/f/fantastic_adventures_194801.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-01-00,$0.25,180.0,pulp,FANTADJAN1948,MAGAZINE,"Vol 10, No 1. Cover illustrates ""Secret of the Serpent.""",,"1girl, snake, long hair, breasts, black hair, nude, sitting, barefoot, cover, fake cover, animal, very long hair, water, makeup, medium breasts","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, bookshop, bookstore, bookstall"
35,640819,"Amazing Stories Quarterly (Reissue), Summer 1948",https://isfdb.org/wiki/images/8/8c/MZNGSTRSQC1948.jpg,The Editor,Ziff-Davis,1948-07-00,$0.35,,pulp,MZNGSTRSQC1948,MAGAZINE,"Summer 1948
The price is printed on cover.",,"space, spacecraft, english text, no humans, vehicle focus, retro artstyle, military, cover, magazine cover, star \(sky\)","harmonica, mouth organ, harp, mouth harp, book jacket, dust cover, dust jacket, dust wrapper, comic book, ocarina, sweet potato, packet"
36,56674,"Amazing Stories, September 1941",https://isfdb.org/wiki/images/b/b6/AMAZSEP1941.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1941-09-00,$0.20,148.0,pulp,AMAZSEP1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56236"">Aug. 1941</a>&#8592;Sep. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56639"">Oct. 1941</a><br/>
<!--isfdb specific-->

Vol 15, No 9. Cover illustrates ""Enchantress of Lemuria."" Table of contents credits interior illustrations to Robert Fuqua, Jay Jackson, Magarian, Ralph Johnson, Joe Sewell, and Julian S. Krupa. Cartoons credited to John Cherry, R. Newman. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.
Illustrator for ""Enchantress of Lemuria"" from the reprint of the artwork in <i><a href=""http://www.isfdb.org/cgi-bin/pl.cgi?243081"">2000 A.D.: Illustrations from the Golden Age of Science Fiction Pulps</a></i>.",,"cover, weapon, english text, fake cover, sword, western comics \(style\), multiple boys, box art, copyright name, retro artstyle, kirby","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, toyshop, jigsaw puzzle"
37,640829,"Amazing Stories Quarterly (Reissue), Spring 1942",https://isfdb.org/wiki/images/5/57/MZNGSTRSQD1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.25,,pulp,MZNGSTRSQD1942,MAGAZINE,"V2 #2
The price is printed on cover.",,"magazine cover, fake cover, solo, english text, monochrome, cover, parody, 1boy","packet, book jacket, dust cover, dust jacket, dust wrapper, comic book, mousetrap, cassette"
38,56280,"Amazing Stories, December 1941",https://isfdb.org/wiki/images/e/ee/AMAZDEC1941.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1941-12-00,$0.20,148.0,pulp,AMAZDEC1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56590"">Nov. 1941</a>&#8592;Dec. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56364"">Jan. 1942</a><br/>
<!--isfdb specific-->

Vol 15, No 12. Cover illustrates ""The Secret of Planetoid 88."" Table of contents credits interior illustrations to Rod Ruth, Jay Jackson, John Charles Thoman, and Joe Sewell. Cartoons by Magarian, Marvin Townsend, and R. Newman. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"1boy, retro artstyle, cover, planet, space, spacecraft, male focus, 1980s \(style\), vehicle focus, brown hair, solo, science fiction, earth \(planet\), cover page","comic book, book jacket, dust cover, dust jacket, dust wrapper, Band Aid, packet, whistle"
39,640828,"Amazing Stories Quarterly (Reissue), Summer 1942",https://isfdb.org/wiki/images/3/32/MZNGSTRSQC1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.25,,pulp,MZNGSTRSQC1942,MAGAZINE,"V2 #3
The price is printed on cover.",,"1boy, magazine cover, cover, fake cover, male focus, retro artstyle, parody, english text, jewelry, solo, necklace, nude","Band Aid, comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, plunger, plumber's helper"
40,640828,"Amazing Stories Quarterly (Reissue), Summer 1942",https://isfdb.org/wiki/images/3/32/MZNGSTRSQC1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.25,,pulp,MZNGSTRSQC1942,MAGAZINE,"V2 #3
The price is printed on cover.",,"1boy, magazine cover, cover, fake cover, male focus, retro artstyle, parody, english text, jewelry, solo, necklace, nude","Band Aid, comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, plunger, plumber's helper"
41,56364,"Amazing Stories, January 1942",https://isfdb.org/wiki/images/4/4e/AMAZJAN1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-01-00,$0.25,244.0,pulp,AMAZJAN1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56280"">Dec. 1941</a>&#8592;Jan. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56325"">Feb. 1942</a><br/>
<!--isfdb specific-->

Vol 16, No 1. Cover illustrates ""The Test Tube Girl."" Table of contents credits interior illustrations to Virgil Finlay, Jay Jackson, Robert Fuqua, Magarian, Rod Ruth, and Joe Sewell. Cartoons credited to R. Newman, and Bob Glueckstein. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"multiple boys, retro artstyle, cover, uniform, 2boys, alien, english text, military uniform, military, male focus","comic book, book jacket, dust cover, dust jacket, dust wrapper, slot, one-armed bandit, toyshop, packet"
42,640826,"Amazing Stories Quarterly (Reissue), Winter 1942",https://isfdb.org/wiki/images/8/83/MZNGSTRSQR1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.35,,pulp,MZNGSTRSQR1942,MAGAZINE,"V3 #1
The price is printed on cover.",,"1boy, male focus, cover, magazine cover, fake cover, pants, english text, boots, solo, cup, robot, shirt, science fiction, standing, parody","comic book, book jacket, dust cover, dust jacket, dust wrapper, spotlight, spot, packet, chain saw, chainsaw"
43,56458,"Amazing Stories, June 1942",https://isfdb.org/wiki/images/d/dc/AMAZJUN1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-06-00,$0.25,276.0,pulp,AMAZJUN1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56544"">May 1942</a>&#8592;Jun. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56410"">Jul. 1942</a><br/>
<!--isfdb specific-->

Vol 16, No 6. Cover illustration untitled. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"spacecraft, retro artstyle, space, cover, no humans, 1980s \(style\), english text, magazine cover, explosion, star \(sky\), fake cover, planet, box art, aircraft, science fiction","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, slot, one-armed bandit, toyshop"
44,56410,"Amazing Stories, July 1942",https://isfdb.org/wiki/images/b/b6/AMAZJUL1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-07-00,$0.25,276.0,pulp,AMAZJUL1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56458"">Jun. 1942</a>&#8592;Jul. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56237"">Aug. 1942</a><br/>
<!--isfdb specific-->

Vol 16, No 7. Cover illustrates ""Blitzkrieg in the Past."" Interior illustrations credited to Jay Jackson, Ed Gordon, Magarian, Robert Fuqua, Ned Hadley, J. Allen St. John, Hugo Wolf, Joe Sewell, and Milburn. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"cover, dinosaur, fake cover, no humans, motor vehicle, blood, open mouth, military vehicle, sharp teeth, tail, cover page, teeth, copyright name, retro artstyle, claws, english text, fangs, battle","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, African chameleon, Chamaeleo chamaeleon, menu"
45,640826,"Amazing Stories Quarterly (Reissue), Winter 1942",https://isfdb.org/wiki/images/8/83/MZNGSTRSQR1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.35,,pulp,MZNGSTRSQR1942,MAGAZINE,"V3 #1
The price is printed on cover.",,"1boy, male focus, cover, magazine cover, fake cover, pants, english text, boots, solo, cup, robot, shirt, science fiction, standing, parody","comic book, book jacket, dust cover, dust jacket, dust wrapper, spotlight, spot, packet, chain saw, chainsaw"
46,56237,"Amazing Stories, August 1942",https://isfdb.org/wiki/images/a/a1/AMAZAUG1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-08-00,$0.25,244.0,pulp,AMAZAUG1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56410"">Jul. 1942</a>&#8592;Aug. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56675"">Sep. 1942</a><br/>
<!--isfdb specific-->

Vol 16, No 8. Cover illustrates ""The Vengeance of Martin Brand"". The McCauley original art was flipped horizontally and extensively reworked by persons unknown, presumably staff at the magazine. The original art can be seen <a href=""http://www.isfdb.org/cgi-bin/title.cgi?2045728"">here</a>. Table of Contents credits interior illustrations to H. W. McCauley, Malcolm Smith, Ned Hadley, Robert Fuqua, Swan Studios, Inc., L. Raymond Jones, Jay Jackson, Russell Milburn, Joe Sewell, and Hugo Wolf. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"retro artstyle, 1980s \(style\), weapon, 1girl, gun, dress, brown hair, handgun, cover, realistic, science fiction, english text, red dress, 1boy, robot, parody, mecha, spacecraft, 1970s \(style\)","comic book, slot, one-armed bandit, book jacket, dust cover, dust jacket, dust wrapper, toyshop, joystick"
47,640825,"Amazing Stories Quarterly (Reissue), Spring 1943",https://isfdb.org/wiki/images/d/dd/MZNGSTRSQD1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQD1943,MAGAZINE,"V3 #2
The price is printed on cover.",,"magazine cover, cover, fake cover, retro artstyle, weapon, science fiction, aircraft, fire, spacecraft, airplane, dated, gun, realistic, 1980s \(style\), english text, fake magazine cover, 1boy, robot","hand blower, blow dryer, blow drier, hair dryer, hair drier, iron, smoothing iron, book jacket, dust cover, dust jacket, dust wrapper, comic book, power drill"
48,56675,"Amazing Stories, September 1942",https://isfdb.org/wiki/images/9/96/AMAZSEP1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-09-00,$0.25,244.0,pulp,AMAZSEP1942,MAGAZINE,"<!--isfdb specific-->
Vol 19 No 9. Front cover illustrates ""Blitz Against Japan."" Interior illustrations credited to Robert Fuqua, Ned Hadley, L. Raymond Jones, R. B. Sharp, Brady, Russell Milburn, H. W. MacCauley, Joe Sewell, and Hugo Wolf. Attributions for the interior illustrations use the most complete form of the artist's name found in this issue.


<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56237"">Aug. 1942</a>&#8592;Sep. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56640"">Oct. 1942</a><br/>
<!--isfdb specific-->",,"ship, watercraft, warship, box art, military vehicle, explosion, military, no humans, cover, ocean, battleship, firing, vehicle focus, battle, cannon, turret, retro artstyle, water, magazine cover, cover page","comic book, book jacket, dust cover, dust jacket, dust wrapper, toyshop, jigsaw puzzle, Band Aid"
49,640825,"Amazing Stories Quarterly (Reissue), Spring 1943",https://isfdb.org/wiki/images/d/dd/MZNGSTRSQD1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQD1943,MAGAZINE,"V3 #2
The price is printed on cover.",,"magazine cover, cover, fake cover, retro artstyle, weapon, science fiction, aircraft, fire, spacecraft, airplane, dated, gun, realistic, 1980s \(style\), english text, fake magazine cover, 1boy, robot","hand blower, blow dryer, blow drier, hair dryer, hair drier, iron, smoothing iron, book jacket, dust cover, dust jacket, dust wrapper, comic book, power drill"
50,56640,"Amazing Stories, October 1942",https://isfdb.org/wiki/images/6/6d/AMAZOCT1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-10-00,$0.25,244.0,pulp,AMAZOCT1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56675"">Sep. 1942</a>&#8592;Oct. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56591"">Nov. 1942</a><br/>
<!--isfdb specific-->

Vol 16, No 10. Cover illustrates ""Crusade Across the Void."" Interior illustrations credited to Malcolm Smith, Robert Gibson Jones, Swan Studios, Russell Milburn, Robert Fuqua, Jay Jackson, Magarian, J. Allen St. John, Joe Sewell, and Hugo Wolf. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"retro artstyle, 1boy, helmet, 1980s \(style\), cover, spacecraft, science fiction, space, box art, pilot suit, logo, english text, flying","comic book, packet, hotdog, hot dog, red hot, slot, one-armed bandit, racer, race car, racing car"
51,640825,"Amazing Stories Quarterly (Reissue), Spring 1943",https://isfdb.org/wiki/images/d/dd/MZNGSTRSQD1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQD1943,MAGAZINE,"V3 #2
The price is printed on cover.",,"magazine cover, cover, fake cover, retro artstyle, weapon, science fiction, aircraft, fire, spacecraft, airplane, dated, gun, realistic, 1980s \(style\), english text, fake magazine cover, 1boy, robot","hand blower, blow dryer, blow drier, hair dryer, hair drier, iron, smoothing iron, book jacket, dust cover, dust jacket, dust wrapper, comic book, power drill"
52,56591,"Amazing Stories, November 1942",https://isfdb.org/wiki/images/4/42/AMAZNOV1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-11-00,$0.25,244.0,pulp,AMAZNOV1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56640"">Oct. 1942</a>&#8592;Nov. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56281"">Dec. 1942</a><br/>
<!--isfdb specific-->

Vol 16, No 11. Cover illustrates ""After an Age."" Table of contents credits interior illustrations to Russell Milburn, L. Raymond Jones, William Panak, Brady, Magarian, J. Allen St. John, Harold Welch, and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"1girl, 1boy, dress, retro artstyle, brown hair, long hair, cover, parody, english text, food","comic book, book jacket, dust cover, dust jacket, dust wrapper, jigsaw puzzle, packet, toyshop"
53,640824,"Amazing Stories Quarterly (Reissue), Summer 1943",https://isfdb.org/wiki/images/2/2a/MZNGSTRSQC1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQC1943,MAGAZINE,"V3 #3
The price is printed on cover.",,"male focus, multiple boys, short hair","book jacket, dust cover, dust jacket, dust wrapper, comic book, cassette, packet, bookshop, bookstore, bookstall"
54,56281,"Amazing Stories, December 1942",https://isfdb.org/wiki/images/0/03/AMAZDEC1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-12-00,$0.25,244.0,pulp,AMAZDEC1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56591"">Nov. 1942</a>&#8592;Dec. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56365"">Jan. 1943</a><br/>
<!--isfdb specific-->

Vol 16, No 12. Cover illustrates ""Warrior of the Dawn."" Table of contents credits interior illustrations to J. Allen St. John, Jay Jackson, Ned Hadley, Magarian, Robert Fuqua, Malcolm Smith, and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"jungle, parody, topless male, retro artstyle, black hair, 1boy, loincloth, cover, english text, tree, dated, blood, male focus, nature, tail, multiple boys","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, jigsaw puzzle"
55,640824,"Amazing Stories Quarterly (Reissue), Summer 1943",https://isfdb.org/wiki/images/2/2a/MZNGSTRSQC1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQC1943,MAGAZINE,"V3 #3
The price is printed on cover.",,"male focus, multiple boys, short hair","book jacket, dust cover, dust jacket, dust wrapper, comic book, cassette, packet, bookshop, bookstore, bookstall"
56,640823,"Amazing Stories Quarterly (Reissue), Fall 1943",https://isfdb.org/wiki/images/1/1d/MZNGSTRSQB1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQB1943,MAGAZINE,"V3 #4
The price is printed on cover.",,"magazine cover, english text, cover, fake cover, no humans, text focus, retro artstyle, mecha, poster \(medium\), robot, fake magazine cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, Band Aid"
57,640824,"Amazing Stories Quarterly (Reissue), Summer 1943",https://isfdb.org/wiki/images/2/2a/MZNGSTRSQC1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQC1943,MAGAZINE,"V3 #3
The price is printed on cover.",,"male focus, multiple boys, short hair","book jacket, dust cover, dust jacket, dust wrapper, comic book, cassette, packet, bookshop, bookstore, bookstall"
58,56365,"Amazing Stories, January 1943",https://isfdb.org/wiki/images/c/c5/AMAZJAN1943.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1943-01-00,$0.25,244.0,pulp,AMAZJAN1943,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56281"">Dec. 1942</a>&#8592;Jan. 1943&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56326"">Feb. 1943</a><br/>
<!--isfdb specific-->

Vol 17, no 1. Cover illustrates ""The Lost Warship."" Table of contents credits interior illustrations to J. Allen St. John, Virgil Finlay, Rod Ruth, Brady, Robert Fuqua, H. W. McCauley, and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"watercraft, ship, kaijuu, no humans, military vehicle, cover, water, fake cover, ocean, battle, warship, english text, aircraft, box art, magazine cover, waves, retro artstyle, military, realistic","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, binder, ring-binder, Band Aid"
59,640823,"Amazing Stories Quarterly (Reissue), Fall 1943",https://isfdb.org/wiki/images/1/1d/MZNGSTRSQB1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQB1943,MAGAZINE,"V3 #4
The price is printed on cover.",,"magazine cover, english text, cover, fake cover, no humans, text focus, retro artstyle, mecha, poster \(medium\), robot, fake magazine cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, Band Aid"
60,56326,"Amazing Stories, February 1943",https://isfdb.org/wiki/images/b/b6/AMAZFEB1943.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1943-02-00,$0.25,244.0,pulp,AMAZFEB1943,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56365"">Jan. 1943</a>&#8592;Feb. 1943&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56496"">Mar. 1943</a><br/>
<!--isfdb specific-->

Vol 17, No 2. Cover illustrates ""Skeleton Men of Jupiter."" Table of contents credits interior illustrations to J. Allen St. John, Virgil Finlay, Ned Hadley, Magarian, Hadden, Robert Fuqua, Rod Ruth and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"weapon, sword, multiple boys, skeleton, 2boys, male focus, fake cover, cover, holding weapon, holding, holding sword, outdoors, english text, parody, black hair, topless male, belt, traditional media, skull","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, bookshop, bookstore, bookstall"
61,640823,"Amazing Stories Quarterly (Reissue), Fall 1943",https://isfdb.org/wiki/images/1/1d/MZNGSTRSQB1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQB1943,MAGAZINE,"V3 #4
The price is printed on cover.",,"magazine cover, english text, cover, fake cover, no humans, text focus, retro artstyle, mecha, poster \(medium\), robot, fake magazine cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, Band Aid"
62,56496,"Amazing Stories, March 1943",https://isfdb.org/wiki/images/8/88/AMAZMAR1943.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1943-03-00,$0.25,244.0,pulp,AMAZMAR1943,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56326"">Feb. 1943</a>&#8592;Mar. 1943&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56200"">Apr. 1943</a><br/>
<!--isfdb specific-->

Vol 17, No 3. Cover illustrates ""The Metal Monster."" Table of contents credits interior illustrations to Frank R. Paul, Virgil Finlay, William Panak, Robert Fuqua, Jay Jackson, L. Raymond Jones, and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"robot, mecha, no humans, cover, retro artstyle, science fiction, ocean, non-humanoid robot, water, box art, fake cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, toyshop, binder, ring-binder, packet"
63,56200,"Amazing Stories, April 1943",https://isfdb.org/wiki/images/1/11/AMAZAPR1943.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1943-04-00,$0.25,244.0,pulp,AMAZAPR1943,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56496"">Mar. 1943</a>&#8592;Apr. 1943&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56545"">May 1943</a><br/>
<!--isfdb specific-->

Vol 17, No 4. Cover illustrates ""That Worlds May Live."" Table of contents credits interior illustrations to Robert Fuqua, H. R. Hammond, H. W. McCauley, Ned Hadley, Magarian, Frank R. Paul, and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"weapon, cover, retro artstyle, gun, multiple boys, helmet, fake cover, gloves, western comics \(style\), holding weapon, holding gun, holding, belt, box art, magazine cover, logo, male focus, english text, cover page, 2boys, realistic, motor vehicle, science fiction, copyright name, hat","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, toyshop, Band Aid"
64,640822,"Amazing Stories Quarterly (Reissue), Winter 1943",https://isfdb.org/wiki/images/f/f9/MZNGSTRSQR1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQR1943,MAGAZINE,"V4 #1
The price is printed on cover.",,"english text, fake cover, male focus, parody, cover, magazine cover, 1boy, multiple boys, hands on own hips, science fiction, 2boys","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, web site, website, internet site, site, scoreboard"
65,56545,"Amazing Stories, May 1943",https://isfdb.org/wiki/images/4/44/AMAZMAY1943.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1943-05-00,$0.25,244.0,pulp,AMAZMAY1943,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56200"">Apr. 1943</a>&#8592;May 1943&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56459"">Jun. 1943</a><br/>
<!--isfdb specific-->

Vol 17, No 5. Cover illustrates ""Priestess of the Floating Skull."" Table of contents credits interior illustration to Robert Gibson Jones, Robert Fuqua, H. W. McCauley, Malcolm Smith, Julian S. Krupa, and Joe Sewell. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.",,"1girl, retro artstyle, hair flower, magazine cover, dress, solo, flower, brown hair, hair ornament, cover, short hair, 1990s \(style\), bracelet, looking at viewer, signature, english text, skull, jewelry, artist name, dated, logo, smile, fake cover, brown eyes, red lips, poster \(medium\), copyright name","packet, comic book, book jacket, dust cover, dust jacket, dust wrapper, pill bottle, Band Aid"
66,640822,"Amazing Stories Quarterly (Reissue), Winter 1943",https://isfdb.org/wiki/images/f/f9/MZNGSTRSQR1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQR1943,MAGAZINE,"V4 #1
The price is printed on cover.",,"english text, fake cover, male focus, parody, cover, magazine cover, 1boy, multiple boys, hands on own hips, science fiction, 2boys","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, web site, website, internet site, site, scoreboard"
